Year,Country,Population,Populated Area [km2],Air Pollution Average [ug/m3] NO2,Air Pollution Average [ug/m3] O3,Air Pollution Average [ug/m3] PM10,Air Pollution Average [ug/m3] PM2.5,Annual AQI NO2,Annual AQI O3,Annual AQI PM10,Annual AQI PM2.5,Premature Deaths NO2,Premature Deaths O3,Premature Deaths PM10,Premature Deaths PM2.5,Years Of Life Lost NO2,Years Of Life Lost O3,Years Of Life Lost PM10,Years Of Life Lost PM2.5
2019,Bulgaria,6999961,23519,8.3,5954.5,18.1,11.8,7.83,0.0,16.76,49.17,1819.0,424.0,8572.55,9906.0,19606.0,4858.0,94127.95,106663.0
2019,Croatia,4076191,23884,6.3,6343.8,16.0,10.8,5.94,0.0,14.81,45.0,497.0,359.0,8572.55,3472.0,5230.0,3822.0,94127.95,36410.0
2019,Cyprus,1213178,6504,7.7,8656.4,17.7,13.7,7.26,0.0,16.39,54.36,179.0,53.0,8572.55,582.0,1889.0,608.0,94127.95,6161.0
2019,Czech Republic,10649759,44196,8.4,5890.6,16.0,11.5,7.92,0.0,14.81,47.92,960.0,675.0,8572.55,6941.0,10751.0,7798.0,94127.95,77681.0
2019,Denmark,5806051,37704,4.2,3470.4,14.3,8.2,3.96,0.0,13.24,34.17,117.0,209.0,8572.55,1719.0,1326.0,2393.0,94127.95,18735.0
2019,Estonia,1324805,20389,2.4,3036.0,8.9,4.4,2.26,0.0,8.24,18.33,17.0,46.0,8572.55,79.0,212.0,562.0,94127.95,941.0
2019,European Union,441994712,1793090,7.2,5017.3,14.4,9.1,6.79,0.0,13.33,37.92,62591.0,24655.0,8572.55,231286.0,683945.0,281095.0,94127.95,2570060.0
2019,Finland,5517868,99493,2.7,2596.0,5.5,3.6,2.55,0.0,5.09,15.0,85.0,132.0,8572.55,167.0,975.0,1527.0,94127.95,1863.0
2019,France,65040282,370764,5.7,5388.8,12.7,7.4,5.38,0.0,11.76,30.83,6720.0,3107.0,8572.55,18709.0,78263.0,38134.0,94127.95,217384.0
2019,Germany,83018124,213783,10.7,5079.6,13.8,9.3,10.09,0.0,12.78,38.75,13383.0,4804.0,8572.55,34359.0,142396.0,53321.0,94127.95,364836.0
2019,Greece,10724467,24582,7.0,8353.6,19.3,11.9,6.6,0.0,17.87,49.58,2316.0,984.0,8572.55,9480.0,23215.0,10257.0,94127.95,94734.0
2019,Hungary,9772693,27758,9.0,5347.2,19.3,13.4,8.49,0.0,17.87,53.73,1664.0,648.0,8572.55,8667.0,18981.0,7660.0,94127.95,98816.0
2019,Ireland,4904219,55482,3.7,2504.7,10.1,5.4,3.49,0.0,9.35,22.5,168.0,74.0,8572.55,598.0,2043.0,935.0,94127.95,7161.0
2019,Italy,59816350,169658,10.5,7549.0,18.7,12.0,9.91,0.0,17.31,50.0,12239.0,4763.0,8572.55,42658.0,122009.0,48766.0,94127.95,425504.0
2019,Latvia,1919953,32912,3.4,3197.8,11.9,7.0,3.21,0.0,11.02,29.17,130.0,77.0,8572.55,1001.0,1486.0,925.0,94127.95,11414.0
2019,Lithuania,2794155,35587,4.8,3622.6,14.4,9.1,4.53,0.0,13.33,37.92,171.0,136.0,8572.55,1880.0,2012.0,1617.0,94127.95,21721.0
2019,Luxembourg,613891,1658,11.1,4368.4,12.8,7.5,10.47,0.0,11.85,31.25,67.0,18.0,8572.55,93.0,769.0,221.0,94127.95,1084.0
2019,Malta,493556,264,6.9,7374.2,24.9,11.7,6.51,0.0,23.06,48.75,16.0,25.0,8572.55,188.0,190.0,294.0,94127.95,2299.0
2019,Netherlands,17282047,30299,13.2,3555.4,17.0,10.4,12.45,0.0,15.74,43.33,2531.0,548.0,8572.55,6064.0,27531.0,6350.0,94127.95,65862.0
2019,Slovakia,5450395,15868,8.6,5561.9,18.1,12.6,8.11,0.0,16.76,52.05,371.0,280.0,8572.55,3462.0,4741.0,3766.0,94127.95,44080.0
2019,Slovenia,2080877,13251,7.9,6729.3,14.9,10.9,7.45,0.0,13.8,45.42,188.0,126.0,8572.55,1147.0,2082.0,1491.0,94127.95,12957.0
2019,Spain,44788442,60511,7.3,6305.1,14.1,7.3,6.89,0.0,13.06,30.42,6675.0,2595.0,8572.55,14734.0,74958.0,30114.0,94127.95,165485.0
